id,label
0,"93,64,10"
1,"320,17,3"
2,"300,296,169"
3,"354,216,0"
4,"25,24,23"
5,"206,8,0"
6,"45,44,10"
7,"42,41,40"
8,"49,24,23"
9,"301,21,3"
10,"418,265,0"
11,"502,145,40"
12,"274,337,169"
13,"456,271,0"
14,"137,23,38"
15,"71,23,24"
16,"80,64,10"
17,"523,3,53"
18,"93,64,10"
19,"220,10"
20,"323,199,169"
21,"89,26,23"
22,"57,5,3"
23,"315,160,40"
24,"326,105,23"
25,"159,131,40"
26,"111,3"
27,"93,64,10"
28,"143,34,3"
29,"14,13,3"
30,"43,24,23"
31,"180,3,120"
32,"406,131,40"
33,"89,26,23"
34,"220,10"
35,"48,21,3"
36,"133,5,3"
37,"25,24,23"
38,"435,4,3"
39,"155,139,40"
40,"89,26,23"
41,"22,21,3"
42,"138,135,40"
43,"291,271,0"
44,"12,11,10"
45,"162,40"
46,"143,3,34"
47,"234,10,60"
48,"186,128,40"
49,"322,54,10"
50,"418,265,0"
51,"148,3,147"
52,"25,24,23"
53,"523,53,3"
54,"182,3,21"
55,"286,41,40"
56,"90,64,10"
57,"284,3,111"
58,"118,23,74"
59,"301,21,3"
60,"378,13,3"
61,"80,64,10"
62,"355,271,0"
63,"99,3,53"
64,"512,218,0"
65,"340,265,0"
66,"131,40"
67,"323,169,199"
68,"320,17,3"
69,"287,53,3"
70,"65,64,10"
71,"448,64,10"
72,"224,41,40"
73,"42,41,40"
74,"220,10"
75,"340,265,0"
76,"187,3,21"
77,"346,313,0"
78,"49,23,24"
79,"220,10"
80,"93,64,10"
81,"127,21,3"
82,"11,10"
83,"306,296,169"
84,"49,24,23"
85,"63,23,38"
86,"406,131,40"
87,"42,41,40"
88,"346,313,0"
89,"523,53,3"
90,"95,54,10"
91,"220,10"
92,"446,0,218"
93,"435,4,3"
94,"92,60,10"
95,"145,40"
96,"49,24,23"
97,"241,40,131"
98,"402,145,40"
99,"308,8,0"
100,"231,26,23"
101,"106,105,23"
102,"49,24,23"
103,"156,3,147"
104,"346,313,0"
105,"350,26,23"
106,"419,11,10"
107,"49,24,23"
108,"304,216,0"
109,"206,8,0"
110,"5,3"
111,"281,199,169"
112,"435,3,4"
113,"187,3,21"
114,"220,10"
115,"281,199,169"
116,"485,313,0"
117,"25,24,23"
118,"283,23,74"
119,"187,3,21"
120,"148,147,3"
121,"340,265,0"
122,"69,11,10"
123,"224,41,40"
124,"99,53,3"
125,"287,3,53"
126,"421,229,0"
127,"25,24,23"
128,"321,271,0"
129,"418,265,0"
130,"478,145,40"
131,"260,169,170"
132,"197,60,10"
133,"250,135,40"
134,"330,28,3"
135,"73,44,10"
136,"457,0,218"
137,"402,145,40"
138,"349,265,0"
139,"171,170,169"
140,"162,40"
141,"112,111,3"
142,"436,169,170"
143,"301,21,3"
144,"72,44,10"
145,"72,44,10"
146,"176,4,3"
147,"405,8,0"
148,"448,64,10"
149,"196,160,40"
150,"295,135,40"
151,"63,23,38"
152,"435,4,3"
153,"488,265,0"
154,"143,34,3"
155,"231,26,23"
156,"241,131,40"
157,"45,44,10"
158,"128,40"
159,"280,271,0"
160,"308,8,0"
161,"39,23,38"
162,"241,131,40"
163,"267,111,3"
164,"291,271,0"
165,"195,128,40"
166,"90,64,10"
167,"93,64,10"
168,"45,44,10"
169,"186,128,40"
170,"54,10"
171,"52,3,51"
172,"89,26,23"
173,"19,4,3"
174,"248,199,169"
175,"289,288,0"
176,"448,64,10"
177,"82,38,23"
178,"301,21,3"
179,"308,8,0"
180,"33,21,3"
181,"519,105,23"
182,"340,265,0"
183,"301,3,21"
184,"195,128,40"
185,"49,24,23"
186,"372,255,0"
187,"236,135,40"
188,"448,64,10"
189,"291,0,271"
190,"323,199,169"
191,"259,199,169"
192,"195,128,40"
193,"88,23,38"
194,"458,277,0"
195,"259,199,169"
196,"402,145,40"
197,"127,21,3"
198,"406,131,40"
199,"291,271,0"
200,"25,24,23"
201,"43,24,23"
202,"325,53,3"
203,"19,4,3"
204,"323,199,169"
205,"251,199,169"
206,"43,24,23"
207,"91,38,23"
208,"45,44,10"
209,"80,64,10"
210,"116,34,3"
211,"235,8,0"
212,"340,265,0"
213,"68,3,53"
214,"384,265,0"
215,"181,145,40"
216,"32,23,31"
217,"303,23,74"
218,"164,21,3"
219,"160,40"
220,"39,38,23"
221,"291,271,0"
222,"435,4,3"
223,"281,199,169"
224,"302,160,40"
225,"204,13,3"
226,"448,64,10"
227,"93,64,10"
228,"6,5,3"
229,"187,21,3"
230,"95,54,10"
231,"340,265,0"
232,"336,169,296"
233,"512,218,0"
234,"146,145,40"
235,"134,131,40"
236,"118,23,74"
237,"251,199,169"
238,"402,145,40"
239,"43,24,23"
240,"346,313,0"
241,"291,271,0"
242,"494,184,40"
243,"241,131,40"
244,"352,271,0"
245,"455,271,0"
246,"234,10,60"
247,"260,169,170"
248,"168,17,3"
249,"129,128,40"
250,"62,24,23"
251,"220,10"
252,"148,147,3"
253,"127,21,3"
254,"137,23,38"
255,"308,8,0"
256,"33,21,3"
257,"204,13,3"
258,"129,128,40"
259,"45,44,10"
260,"93,64,10"
261,"7,4,3"
262,"93,64,10"
263,"203,147,3"
264,"127,21,3"
265,"301,21,3"
266,"309,23,38"
267,"241,131,40"
268,"93,64,10"
269,"334,160,40"
270,"523,3,53"
271,"131,40"
272,"49,23,24"
273,"25,24,23"
274,"45,44,10"
275,"80,64,10"
276,"32,23,31"
277,"301,21,3"
278,"118,23,74"
279,"241,131,40"
280,"63,23,38"
281,"221,220,10"
282,"327,8,0"
283,"127,21,3"
284,"301,21,3"
285,"174,4,3"
286,"80,64,10"
287,"291,0,271"
288,"93,64,10"
289,"231,26,23"
290,"455,271,0"
291,"43,24,23"
292,"45,44,10"
293,"49,24,23"
294,"125,3,111"
295,"149,41,40"
296,"152,151,40"
297,"189,135,40"
298,"343,199,169"
299,"17,3"
300,"144,15,3"
301,"170,169"
302,"71,23,24"
303,"148,3,147"
304,"170,169"
305,"291,271,0"
306,"241,131,40"
307,"308,8,0"
308,"80,64,10"
309,"139,40"
310,"291,271,0"
311,"447,34,3"
312,"182,21,3"
313,"49,24,23"
314,"143,3,34"
315,"488,265,0"
316,"241,131,40"
317,"385,5,3"
318,"303,74,23"
319,"508,169,426"
320,"279,249,0"
321,"241,131,40"
322,"36,35,3"
323,"523,53,3"
