id,label
0,"10,64,93"
1,"3,17,21"
2,"300,3,169"
3,"0,216"
4,"10,220,40"
5,"206,0,8"
6,"40,402,10"
7,"3,21"
8,"49,23,24"
9,"3,21"
10,"0,265,10"
11,"146,145,38"
12,"169,170,337"
13,"271,0,456"
14,"23,38,74"
15,"23,38"
16,"10,64,11"
17,"3,21,200"
18,"10,64,93"
19,"10,220"
20,"43,323,181"
21,"26,0,23"
22,"5,3,331"
23,"40,160,315"
24,"10,0,216"
25,"40,131,134"
26,"3,21,200"
27,"10,64,93"
28,"3,17,18"
29,"13,14,204"
30,"23,43,24"
31,"3,15,147"
32,"40,131"
33,"23,26,38"
34,"220,10"
35,"3,21,200"
36,"3,21,40"
37,"10,11,69"
38,"4,3"
39,"40,241,3"
40,"26,23,0"
41,"3,21,5"
42,"138,135,40"
43,"0,271,218"
44,"10,11,72"
45,"40,162,128"
46,"3,17,21"
47,"10,234,60"
48,"40,128,131"
49,"10,234,24"
50,"38,23,0"
51,"3,21,200"
52,"10,220,402"
53,"3,23,147"
54,"3,200,4"
55,"3,21,40"
56,"10,64,11"
57,"23,74,38"
58,"23,118,74"
59,"3,21,200"
60,"11,13,10"
61,"10,64"
62,"0,271,456"
63,"3,21,200"
64,"0,3,271"
65,"3,21,200"
66,"40,131,134"
67,"199,169,323"
68,"3,17,18"
69,"3,187,15"
70,"10,64"
71,"10,64,448"
72,"40,41,224"
73,"3,21,40"
74,"220,10"
75,"0,265,271"
76,"3,187,21"
77,"346,0,313"
78,"23,49,24"
79,"220,10"
80,"10,64,93"
81,"40,3,160"
82,"10,11"
83,"296,169,306"
84,"23,24,49"
85,"23,38,63"
86,"40,131"
87,"21,40,3"
88,"0,26,346"
89,"3,21,200"
90,"10,24,43"
91,"220,10"
92,"0,216,235"
93,"4,3,7"
94,"40,23,478"
95,"40,131,145"
96,"49,23,24"
97,"40,131,241"
98,"402,145,40"
99,"26,23,0"
100,"231,26,23"
101,"23,24,74"
102,"49,24,23"
103,"3,225,156"
104,"23,38,10"
105,"0,8,346"
106,"3,10,21"
107,"49,24,10"
108,"0,271,216"
109,"0,206,8"
110,"3,21,5"
111,"199,169,38"
112,"3,4,200"
113,"3,187,15"
114,"10,220"
115,"199,169,259"
116,"0,3,313"
117,"10,220,0"
118,"40,146,23"
119,"3,21,187"
120,"3,147,148"
121,"0,3,265"
122,"10,11,69"
123,"40,41,21"
124,"3,4,200"
125,"3,21,200"
126,"10,230,229"
127,"23,38,40"
128,"0,271,216"
129,"0,265,218"
130,"10,40,64"
131,"169,199,251"
132,"23,38,24"
133,"3,21,40"
134,"3,21,200"
135,"40,44,145"
136,"0,271,216"
137,"402,40,145"
138,"0,265,271"
139,"171,170,169"
140,"40,23,21"
141,"3,21,111"
142,"169,199,170"
143,"3,21,200"
144,"10,72,44"
145,"10,11,221"
146,"3,4"
147,"169,274,0"
148,"10,64,448"
149,"160,40,315"
150,"23,40,295"
151,"38,63,23"
152,"4,3,7"
153,"0,271"
154,"199,169,17"
155,"0,26,231"
156,"40,131"
157,"44,402,23"
158,"40,128,41"
159,"169,199,0"
160,"38,8,23"
161,"38,23,82"
162,"241,40,131"
163,"3,21,200"
164,"0,271,291"
165,"0,271,128"
166,"10,64,11"
167,"10,64,93"
168,"11,10,44"
169,"40,128,41"
170,"0,170,169"
171,"3,21,200"
172,"0,23,26"
173,"4,3,7"
174,"199,40,169"
175,"26,0,40"
176,"10,64,80"
177,"38,23,82"
178,"3,21,200"
179,"26,0,308"
180,"3,21"
181,"3,23,21"
182,"0,265,10"
183,"3,21,200"
184,"3,40,21"
185,"49,23,24"
186,"0,271,216"
187,"40,135,236"
188,"10,64,80"
189,"169,199,251"
190,"199,169,323"
191,"199,259,169"
192,"40,169,26"
193,"23,84,38"
194,"0,169,271"
195,"199,169,431"
196,"402,10,145"
197,"3,21,148"
198,"40,131"
199,"0,271,8"
200,"24,23,43"
201,"43,24,23"
202,"3,23,21"
203,"3,4"
204,"199,169,323"
205,"199,169,251"
206,"43,24,23"
207,"23,38"
208,"10,24,23"
209,"10,64,80"
210,"188,15,16"
211,"0,235,8"
212,"0,271,265"
213,"3,182,200"
214,"0,49,23"
215,"43,23,24"
216,"32,23,31"
217,"23,38,71"
218,"3,21"
219,"160,40"
220,"38,23"
221,"0,271,216"
222,"3,4"
223,"199,169,259"
224,"160,40,315"
225,"3,204,13"
226,"10,64,24"
227,"10,64,11"
228,"5,331,6"
229,"3,21,17"
230,"402,145,10"
231,"3,21,0"
232,"26,23,0"
233,"3,0,216"
234,"40,145,146"
235,"40,131,134"
236,"23,118,74"
237,"199,169,251"
238,"402,220,40"
239,"43,24,23"
240,"0,346,313"
241,"0,271"
242,"40,199,494"
243,"40,131,134"
244,"0,271"
245,"0,216,16"
246,"234,10,60"
247,"199,169,40"
248,"3,17,21"
249,"129,128,40"
250,"38,10,23"
251,"220,10"
252,"3,147,148"
253,"3,21,17"
254,"23,38,24"
255,"26,23,0"
256,"3,21,160"
257,"3,204,13"
258,"128,40,129"
259,"10,44,402"
260,"10,64,93"
261,"4,3"
262,"10,64,93"
263,"3,147,148"
264,"3,21,187"
265,"3,21,200"
266,"23,38,345"
267,"23,38,74"
268,"10,64,93"
269,"40,160"
270,"3,21,200"
271,"40,131,134"
272,"49,23,24"
273,"23,38,24"
274,"10,44,23"
275,"10,64,448"
276,"32,23,31"
277,"3,21,200"
278,"118,23,74"
279,"40,131,241"
280,"23,38,74"
281,"10,220,221"
282,"0,271,265"
283,"3,21"
284,"3,41,40"
285,"3,4"
286,"10,64,448"
287,"0,271,216"
288,"10,64,93"
289,"26,23,0"
290,"0,271,313"
291,"43,24,23"
292,"10,11,44"
293,"169,49,0"
294,"3,21,200"
295,"40,160,128"
296,"40,21,3"
297,"40,135,395"
298,"169,199,170"
299,"3,17,21"
300,"3,15,16"
301,"3,170,169"
302,"23,71,38"
303,"3,21,148"
304,"169,0,170"
305,"0,271"
306,"23,71,40"
307,"26,0,89"
308,"10,64,80"
309,"40,3,131"
310,"0,271,216"
311,"3,21,187"
312,"3,21,200"
313,"23,49,38"
314,"3,17,18"
315,"0,271,216"
316,"23,38,40"
317,"3,21,200"
318,"23,74,38"
319,"169,199,426"
320,"0,216,211"
321,"40,131,241"
322,"40,271,23"
323,"3,200,148"
324,"160,40,315"
325,"40,131,23"
326,"3,28,13"
327,"431,135,40"
328,"43,24,23"
329,"0,169,199"
330,"23,43,24"
331,"129,128,40"
332,"0,216,211"
333,"3,123,21"
334,"0,271,366"
335,"3,21,13"
336,"43,24,23"
337,"3,187,21"
338,"3,21,200"
339,"3,147,148"
340,"10,220,221"
341,"147,148,3"
342,"128,40,129"
343,"3,5,331"
344,"40,131,241"
345,"40,402,145"
346,"169,296,170"
347,"10,220,221"
348,"3,21,200"
349,"296,169,10"
350,"10,11,69"
351,"74,23,40"
352,"169,296,300"
353,"0,10,26"
354,"3,13,21"
355,"402,44,10"
356,"38,23,26"
357,"31,40,10"
358,"0,271,8"
359,"10,64,448"
360,"23,38,31"
361,"402,10,40"
362,"3,21,200"
363,"169,170,241"
364,"169,426,199"
365,"0,271,216"
366,"0,26,8"
367,"0,216,26"
368,"38,23,74"
369,"199,431,135"
370,"3,4,200"
