id,label
0,"80,10,64"
1,"17,3"
2,"300,296,169"
3,"304,216,0"
4,"448,10,64"
5,"206,8,0"
6,"397,313,0"
7,"126,21,3"
8,"49,24,23"
9,"126,21,3"
10,"205,10,11"
11,"502,145,40"
12,169
13,"456,271,0"
14,"71,38,24"
15,"264,38,23"
16,"448,10,64"
17,"112,3,111"
18,"93,10,64"
19,"221,220,10"
20,"181,40,145"
21,"308,8,0"
22,"228,5,3"
23,"315,160,40"
24,"493,145,40"
25,"159,40,131"
26,"21,3"
27,"93,10,64"
28,"18,17,3"
29,"110,53,3"
30,"43,24,23"
31,"417,296,169"
32,"226,131,40"
33,"257,216,0"
34,"220,10"
35,"48,21,3"
36,"228,5,3"
37,"69,44,145"
38,"188,4,3"
39,"155,139,40"
40,"370,216,0"
41,"228,5,3"
42,"138,135,40"
43,"488,265,0"
44,"12,11,10"
45,"163,162,40"
46,"168,17,3"
47,"234,60,21"
48,"186,128,40"
49,"417,169,296"
50,"82,23,38"
51,"56,15,17"
52,"67,145,44"
53,"430,53,3"
54,"472,111,3"
55,"187,21,3"
56,"448,64,10"
57,"96,31,23"
58,"118,23,74"
59,"22,21,3"
60,"122,13,3"
61,"448,64,10"
62,"280,271,255"
63,"99,53,3"
64,"505,208,0"
65,"340,265,0"
66,"134,40,131"
67,"323,170,199"
68,"18,17,3"
69,"287,53,3"
70,"473,64,10"
71,"448,64,10"
72,"224,41,40"
73,"126,21,3"
74,"221,220,10"
75,"291,271,0"
76,"187,21,3"
77,"346,313,0"
78,"49,23,24"
79,"220,10"
80,"80,64,10"
81,"17,3"
82,"72,44,145"
83,"306,296,169"
84,"96,31,23"
85,"63,38,23"
86,"406,131,40"
87,"21,3"
88,"231,26,23"
89,"198,111,3"
90,"80,64,10"
91,"221,220,10"
92,"257,216,0"
93,"238,4,3"
94,"478,145,40"
95,"145,40"
96,"239,60,10"
97,"241,40,131"
98,"448,10,64"
99,"240,23,38"
100,"231,26,23"
101,"106,105,23"
102,"322,54,10"
103,"301,3,21"
104,"25,23,24"
105,"514,8,0"
106,"181,145,40"
107,"239,60,10"
108,"304,216,0"
109,"285,8,0"
110,"228,5,3"
111,"311,426,337"
112,"435,3,4"
113,"237,34,3"
114,"220,10"
115,"259,311,426"
116,"485,313,0"
117,"217,3,120"
118,"283,74,23"
119,"187,21,3"
120,"148,147,3"
121,"376,265,0"
122,"69,44,145"
123,"187,21,3"
124,"122,3,13"
125,"187,21,3"
126,"229,0"
127,"448,64,10"
128,"321,271,0"
129,"349,265,0"
130,"478,145,40"
131,"170,169"
132,"80,10,64"
133,"250,40,135"
134,"204,3,13"
135,"73,44,145"
136,"457,0,218"
137,"402,145,40"
138,"291,271,0"
139,"48,21,3"
140,"162,40"
141,"112,111,3"
142,"343,169,199"
143,"301,21,3"
144,"72,44,145"
145,"221,10,220"
146,"7,4,3"
147,"405,8,0"
148,"448,64,10"
149,"160,40"
150,"295,135,40"
151,"63,23,38"
152,"435,4,3"
153,"488,265,0"
154,"382,199,169"
155,"231,26,23"
156,"142,131,40"
157,"73,44,145"
158,"182,21,3"
159,"199,169"
160,"308,8,0"
161,"82,23,38"
162,"241,131,40"
163,"267,111,3"
164,"291,271,0"
165,"304,216,0"
166,"90,10,64"
167,"93,64,10"
168,"44,145,40"
169,"324,41,40"
170,"83,54,10"
171,"321,271,0"
172,"63,38,23"
173,"19,4,3"
174,"187,21,3"
175,"240,23,38"
176,"448,10,64"
177,"82,23,38"
178,"301,21,3"
179,"308,8,0"
180,"33,21,3"
181,"50,3"
182,"376,265,0"
183,3
184,"362,271,0"
185,"49,23,24"
186,"372,255,0"
187,"236,135,40"
188,"448,64,10"
189,"199,169"
190,"508,169,426"
191,"259,311,426"
192,"455,271,0"
193,"318,105,23"
194,"311,426,337"
195,"431,135,40"
196,"80,10,64"
197,"315,160,40"
198,40
199,"456,271,0"
200,"43,24,23"
201,"43,24,23"
202,"124,21,3"
203,"435,4,3"
204,"323,170,199"
205,"259,311,426"
206,"43,24,23"
207,"91,23,38"
208,"448,64,10"
209,"448,64,10"
210,"340,0,265"
211,"235,8,0"
212,"341,265,0"
213,"182,3,21"
214,"384,265,0"
215,"448,10,64"
216,"417,169,296"
217,"71,24,38"
218,"187,21,3"
219,"160,40"
220,"39,38,23"
221,"291,271,0"
222,"238,4,3"
223,"259,311,426"
224,"302,160,40"
225,"204,13,3"
226,"221,10,220"
227,"69,44,145"
228,"228,5,3"
229,"187,21,3"
230,"95,54,10"
231,"340,265,0"
232,"95,54,10"
233,"497,0,288"
234,"146,145,40"
235,"134,131,40"
236,23
237,"199,169"
238,"402,145,40"
239,"43,24,23"
240,"456,271,0"
241,"355,271,0"
242,"494,184,40"
243,"406,40,131"
