id,label
0,"10,93,64"
1,"3,17,71"
2,"523,53,3"
3,"0,216"
4,"10,220,25"
5,"206,8,0"
6,"44,45,10"
7,"3,21,42"
8,"49,24,23"
9,"3,21,301"
10,"0,418,265"
11,"146,145,502"
12,"169,337,170"
13,"271,0,456"
14,"23,38,71"
15,"23,38,10"
16,"10,80,44"
17,"3,147,148"
18,"10,93,64"
19,"220,10,25"
20,"323,181,199"
21,"26,0,23"
22,"5,6,3"
23,"40,160,315"
24,"0,10,523"
25,"40,131,406"
26,"3,21,200"
27,"93,10,64"
28,"3,17,320"
29,"13,14,204"
30,"43,23,24"
31,"3,523,53"
32,"40,131,406"
33,"23,346,26"
34,"220,10,25"
35,"3,21,200"
36,"3,133,21"
37,"10,11,69"
38,"3,4,435"
39,"40,241,131"
40,"26,89,23"
41,"3,21,301"
42,"138,135,40"
43,"0,291,271"
44,"10,11,12"
45,"40,162,128"
46,"3,17,21"
47,"10,234,60"
48,"40,128,186"
49,"10,234,23"
50,"38,23,0"
51,"3,147,148"
52,"402,10,220"
53,"3,147,53"
54,"3,435,182"
55,"21,3,40"
56,"10,64,11"
57,"23,96,74"
58,"118,23,74"
59,"3,301,21"
60,"11,13,10"
61,"80,10,64"
62,"0,271,456"
63,"3,200,21"
64,"0,3,218"
65,"3,21,200"
66,"40,131,406"
67,"199,323,169"
68,"3,17,320"
69,"3,53,287"
70,"10,64,80"
71,"10,64,80"
72,"40,41,224"
73,"3,21,40"
74,"220,10,221"
75,"0,265,271"
76,"3,187,199"
77,"346,0,313"
78,"49,23,24"
79,"220,10"
80,"10,93,64"
81,"40,3,17"
82,"10,11"
83,"296,169,306"
84,"49,24,23"
85,"23,38,63"
86,"40,131,406"
87,"40,21,41"
88,"26,346,0"
89,"3,523,200"
90,"24,10,145"
91,"220,10,221"
92,"0,216,235"
93,"435,4,3"
94,"40,131,241"
95,"40,131,406"
96,"49,23,24"
97,"40,241,131"
98,"402,145,40"
99,"308,26,0"
100,"231,26,23"
101,"23,24,38"
102,"49,24,23"
103,"156,225,3"
104,"10,23,44"
105,"0,350,8"
106,"3,10,21"
107,"49,24,23"
108,"0,271,216"
109,"0,206,8"
110,"3,5,21"
111,"199,169,23"
112,"3,4,435"
113,"3,187,15"
114,"10,220,221"
115,"199,281,169"
116,"0,3,21"
117,"10,220,25"
118,"40,23,146"
119,"3,21,187"
120,"147,3,148"
121,"0,3,287"
122,"10,11,69"
123,"40,41,224"
124,"3,53,287"
125,"3,21,127"
126,"10,230,229"
127,"23,38,10"
128,"0,271,216"
129,"0,418,265"
130,"40,10,80"
131,"169,199,251"
132,"38,23,10"
133,"40,3,21"
134,"3,301,28"
135,"44,40,25"
136,"0,271,456"
137,"402,40,145"
138,"0,271,265"
139,"171,170,169"
140,"40,23,21"
141,"3,111,112"
142,"169,199,170"
143,"3,301,21"
144,"10,72,44"
145,"10,11,69"
146,"3,4,435"
147,"405,8,274"
148,"10,64,80"
149,"160,196,40"
150,"23,295,40"
151,"38,63,23"
152,"435,4,3"
153,"0,271,265"
154,"199,259,169"
155,"26,0,231"
156,"40,131,241"
157,"44,10,45"
158,"40,128"
159,"169,0,199"
160,"308,8,38"
161,"38,23,39"
162,"241,40,131"
163,"3,21,200"
164,"0,291,271"
165,"0,128,195"
166,"10,64,11"
167,"10,93,64"
168,"45,44,10"
169,"40,128,186"
170,"0,26,15"
171,"3,21,148"
172,"26,23,0"
173,"3,4,435"
174,"199,40,169"
