id,label
0,"64,93,10"
1,"17,3,71"
2,"53,523,3"
3,"0,216"
4,"10,220,25"
5,"206,8,0"
6,"44,45,10"
7,"21,3,42"
8,"49,23,24"
9,"3,21,301"
10,"0,418,265"
11,"145,146,502"
12,"169,337,170"
13,"271,0,456"
14,"23,38,71"
15,"23,38,44"
16,"10,80,44"
17,"3,200,148"
18,"93,10,64"
19,"220,10,25"
20,"323,181,199"
21,"26,0,23"
22,"5,6,3"
23,"40,160,315"
24,"0,10,523"
25,"40,131,406"
26,"3,21,200"
27,"93,10,64"
28,"17,3,320"
29,"13,14,3"
30,"43,23,24"
31,"3,523,53"
32,"131,40,406"
33,"23,26,346"
34,"220,10,25"
35,"3,21,200"
36,"3,133,200"
37,"10,11,69"
38,"4,3,435"
39,"40,241,131"
40,"26,89,23"
41,"3,21,301"
42,"138,135,40"
43,"0,291,271"
44,"10,11,72"
45,"40,162,128"
46,"3,17,200"
47,"10,234,60"
48,"40,128,186"
49,"10,234,23"
50,"38,23,0"
51,"3,148,200"
52,"10,402,220"
53,"3,53,147"
54,"3,435,182"
55,"21,3,40"
56,"10,64,80"
57,"23,96,317"
58,"23,118,74"
59,"3,301,21"
60,"11,13,10"
61,"80,64,10"
62,"271,0"
63,"3,200,21"
64,"0,3,218"
65,"3,21,200"
66,"40,131,134"
67,"199,169,323"
68,"3,17,320"
69,"3,53,187"
70,"64,10,80"
71,"10,64,80"
72,"40,41,224"
73,"21,3,40"
74,"220,10"
75,"0,265,291"
76,"3,187,199"
77,"346,0,313"
78,"23,49,24"
79,"220,10"
80,"10,93,64"
81,"40,17,3"
82,"10,11"
83,"296,169,170"
84,"49,24,23"
85,"23,38,63"
86,"131,40,406"
87,"21,40,41"
88,"26,346,0"
89,"3,200,523"
90,"24,10,145"
91,"220,10,221"
92,"0,216,235"
93,"4,435,3"
94,"40,131,241"
95,"40,131,406"
96,"49,23,24"
97,"40,241,131"
98,"402,145,40"
99,"308,26,0"
100,"231,26,23"
101,"23,24,38"
102,"49,24,23"
103,"156,225,3"
104,"10,44,23"
105,"0,8,350"
106,"3,10,21"
107,"49,24,23"
108,"0,271,216"
109,"8,0,206"
110,"3,5,200"
111,"199,169,23"
112,"3,4,435"
113,"3,187,15"
114,"10,220"
115,"199,169,281"
116,"0,3,21"
117,"10,220,25"
118,"40,23,283"
119,"3,21,200"
120,"147,3,148"
121,"0,3,349"
122,"10,11,69"
123,"40,41,21"
124,"3,200,53"
125,"3,21,200"
126,"230,229,10"
127,"23,38,10"
128,"0,271,216"
129,"0,265,418"
130,"40,64,80"
131,"169,199,251"
132,"38,23,10"
133,"21,40,3"
134,"3,301,28"
135,"44,40,25"
136,"0,271,456"
137,"402,145,40"
138,"0,271,265"
139,"171,170,169"
140,"40,21,23"
141,"3,111,200"
142,"169,199,170"
143,"3,200,301"
144,"10,72,44"
145,"10,11,69"
146,"4,3"
147,"8,405,274"
148,"10,64,80"
149,"160,196,40"
150,"23,295,40"
151,"38,63,23"
152,"4,435,3"
153,"0,271,265"
154,"199,259,169"
155,"26,0,231"
156,"40,131,241"
157,"44,10,45"
158,"40,128"
159,"169,0,199"
160,"308,8,38"
161,"38,23,39"
162,"241,40,131"
163,"3,21,200"
164,"0,291,271"
165,"0,128,195"
166,"10,64,80"
167,"10,64,93"
168,"44,45,10"
169,"40,128,186"
170,"26,15,0"
171,"3,200,52"
172,"26,23,0"
173,"4,3,435"
174,"199,40,169"
175,"26,0,231"
176,"10,80,64"
177,"38,23,39"
178,"3,200,21"
179,"26,308,8"
180,"21,3,200"
181,"3,287,53"
182,"0,265,418"
183,"3,301,200"
184,"40,21,0"
185,"49,23,24"
186,"0,372,271"
187,"135,40,236"
188,"10,80,64"
189,"169,291,199"
190,"199,169,323"
191,"199,259,169"
192,"26,251,231"
193,"38,23,88"
194,"0,271,169"
195,"199,259,169"
196,"402,10,145"
197,"3,148,147"
198,"40,406,131"
199,"0,271,291"
200,"24,23,43"
201,"43,24,23"
202,"3,200,53"
203,"3,4,435"
204,"199,169,323"
205,"199,169,251"
206,"43,24,23"
207,"38,23"
208,"10,24,44"
209,"10,64,80"
210,"188,498,287"
211,"8,0,235"
212,"0,271,265"
213,"3,182,200"
214,"0,49,23"
215,"24,43,23"
216,"32,23,31"
217,"23,71,38"
218,"3,21,200"
219,"160,40,315"
220,"38,23"
221,"0,271,291"
222,"3,4,435"
223,"199,169,281"
224,"160,40,315"
225,"204,13,3"
226,"10,64,80"
227,"10,64,93"
228,"5,331,6"
229,"3,21,17"
230,"402,145,10"
231,"3,200,16"
232,"26,23,0"
233,"3,0,301"
234,"40,145,146"
235,"40,131,134"
236,"53,118,287"
237,"199,169,251"
238,"402,145,220"
239,"43,24,23"
240,"0,313,346"
241,"0,271,291"
242,"40,494,169"
243,"40,131,406"
244,"0,271"
245,"455,0,216"
246,"234,10,60"
247,"199,169,93"
248,"3,17,200"
249,"129,128,40"
250,"38,10,23"
251,"220,10,25"
252,"3,147,148"
253,"3,17,200"
254,"23,38,74"
255,"26,23,308"
256,"3,21,160"
257,"204,3,13"
258,"128,40,129"
259,"44,10,45"
260,"64,93,10"
261,"4,3,52"
262,"93,10,64"
263,"147,3,148"
264,"3,21,40"
265,"3,21,200"
266,"38,23,309"
267,"23,38,74"
268,"93,10,64"
269,"40,160,334"
270,"3,21,200"
271,"40,131,406"
272,"49,23,24"
273,"23,38,24"
274,"10,44,45"
275,"80,64,10"
276,"32,31,23"
277,"3,21,301"
278,"118,74,23"
279,"40,131,241"
280,"23,38,291"
281,"10,220,221"
282,"0,265,271"
283,"3,21,127"
284,"3,41,200"
285,"4,3,435"
286,"10,80,64"
287,"0,271,291"
288,"10,93,64"
289,"26,0,23"
290,"0,271,313"
291,"43,24,23"
292,"44,10,45"
293,"49,169,24"
294,"3,200,21"
295,"40,160,128"
296,"40,21,41"
297,"40,135,189"
298,"169,199,337"
299,"3,17,200"
300,"16,15,3"
301,"169,3,170"
302,"23,71,38"
303,"3,148,200"
304,"169,0,26"
305,"0,271,291"
306,"71,23,40"
307,"26,0,8"
308,"10,80,64"
309,"40,128,139"
310,"0,271,291"
311,"3,200,187"
312,"3,21,200"
313,"49,23,38"
314,"3,17,320"
315,"0,271,216"
316,"23,241,40"
317,"3,200,21"
318,"23,3,71"
319,"169,199,0"
320,"0,211,216"
321,"40,241,131"
322,"271,40,74"
323,"3,523,200"
324,"160,40,315"
325,"40,131,23"
326,"28,301,3"
327,"431,135,199"
328,"43,24,23"
329,"0,216,199"
330,"24,23,43"
331,"129,128,40"
332,"0,216,211"
333,"3,123,111"
334,"0,271,366"
335,"3,13,204"
336,"43,24,23"
337,"3,187,17"
338,"3,21,200"
339,"3,147,148"
340,"10,220,221"
341,"147,3,148"
342,"128,129,40"
343,"5,3,331"
344,"40,241,131"
345,"402,40,145"
346,"296,169,460"
347,"10,220,221"
348,"3,200,21"
349,"296,169,300"
350,"10,11,69"
351,"23,74,231"
352,"296,169,411"
353,"0,308,8"
354,"3,204,13"
355,"402,44,10"
356,"38,23,26"
357,"31,40,96"
358,"0,291,271"
359,"10,80,64"
360,"23,38,40"
361,"402,10,44"
362,"3,200,21"
363,"241,169,170"
364,"169,508,426"
365,"0,271,291"
366,"0,8,23"
367,"0,26,216"
368,"38,23,74"
369,"199,431,169"
370,"3,4,435"
371,"43,24,23"
372,"118,74,23"
373,"131,40,241"
374,"206,8,0"
375,"45,402,44"
376,"169,199,170"
377,"48,81,3"
378,"41,40,224"
379,"31,96,23"
380,"3,40,200"
381,"169,199,3"
382,"169,426,170"
383,"169,199,170"
384,"17,320,3"
385,"220,10"
386,"10,220,25"
387,"23,38,74"
388,"0,211,216"
389,"3,200,301"
390,"220,10,25"
391,"10,24,23"
392,"0,216,271"
393,"10,80,64"
394,"418,10,265"
395,"3,182,200"
396,"38,309,23"
397,"3,21,200"
398,"337,169,339"
399,"170,169,199"
400,"45,44,10"
401,"199,169,259"
402,"3,147,148"
403,"0,271,291"
404,"3,200,21"
405,"0,235,8"
406,"3,21,200"
407,"40,131,241"
408,"3,187,21"
409,"21,3,182"
410,"21,3,127"
411,"15,16,3"
412,"49,23,24"
413,"199,169,170"
414,"0,206,8"
415,"131,406,40"
416,"26,0,23"
417,"220,10"
418,"40,131,241"
419,"23,74,38"
420,"169,170,31"
421,"220,10,221"
422,"0,370,216"
